name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,host2_monthly_rank,shop_listed_hosts,tiktok_top30_exact_match,national_popularity_score,x_profile_url,selection_note,selection_score,host2_area,photo_face_check
儚い世界,DEEP,https://www.host2.jp/shop/deep03/index.html,https://www.host2.jp/shop/deep03/sekai/index.html,https://www.host2.jp/shop/deep03/sekai/pr01-thum.jpg,1,2026-09-24,1,50,,,https://x.com/deep20210301,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",600,歌舞伎町ホストクラブ,unknown
空本みのる,GENTLE,https://www.host2.jp/shop/gentle/index.html,https://www.host2.jp/shop/gentle/minoru/index.html,https://www.host2.jp/shop/gentle/minoru/pr01-thum.jpg,1,2026-09-24,1,50,,,https://x.com/gentlemansclubg,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",600,大阪／ミナミホストクラブ,unknown
道明寺 楽,neo universe,https://www.host2.jp/shop/neouniverse/index.html,https://www.host2.jp/shop/neouniverse/gaku/index.html,https://www.host2.jp/shop/neouniverse/gaku/pr01-thum.jpg,1,2026-09-24,1,50,,,https://x.com/neouniverse0331,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",600,大阪／ミナミホストクラブ,unknown
風早 樂,UNIVERSE zero,https://www.host2.jp/shop/universezero/index.html,https://www.host2.jp/shop/universezero/gaku/index.html,https://www.host2.jp/shop/universezero/gaku/pr01-thum.jpg,1,2026-09-24,1,50,,,https://x.com/gaku_un0,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",600,大阪／ミナミホストクラブ,unknown
RAI,SINCE YOU... -Classic-,https://www.host2.jp/shop/sinceyouclassic/index.html,https://www.host2.jp/shop/sinceyouclassic/rai/index.html,https://www.host2.jp/shop/sinceyouclassic/rai/pr01-thum.jpg,1,2026-09-24,1,49,,,https://x.com/rai_class,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",598,歌舞伎町ホストクラブ,unknown
颯天,ellie,https://www.host2.jp/shop/ellie/index.html,https://www.host2.jp/shop/ellie/hayate/index.html,https://www.host2.jp/shop/ellie/hayate/pr01-thum.jpg,1,2026-09-24,1,49,,,https://x.com/hayate_ellie,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",598,歌舞伎町ホストクラブ,unknown
sena,TOP DANDY -1st-,https://www.host2.jp/shop/topdandy1st/index.html,https://www.host2.jp/shop/topdandy1st/sena01/index.html,https://www.host2.jp/shop/topdandy1st/sena01/pr01-thum.jpg,1,2026-09-24,1,48,,,https://x.com/sern_vip,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",596,歌舞伎町ホストクラブ,unknown
涼宮ハルヒ,EGOIST,https://www.host2.jp/shop/egoist/index.html,https://www.host2.jp/shop/egoist/haruhi/index.html,https://www.host2.jp/shop/egoist/haruhi/pr01-thum.jpg,1,2026-09-24,1,48,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",596,神奈川／横浜ホストクラブ,unknown
あらし,HEAVEN,https://www.host2.jp/shop/heaven01/index.html,https://www.host2.jp/shop/heaven01/arashi02/index.html,https://www.host2.jp/shop/heaven01/arashi02/pr01-thum.jpg,1,2026-09-24,1,47,,,https://x.com/clg_arash1,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",594,歌舞伎町ホストクラブ,unknown
ゆら,KING,https://www.host2.jp/shop/king2/index.html,https://www.host2.jp/shop/king2/yura/index.html,https://www.host2.jp/shop/king2/yura/pr01-thum.jpg,1,2026-09-24,1,47,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",594,群馬／太田ホストクラブ,unknown
星空,FUYUTSUKI -Chocolat-,https://www.host2.jp/shop/fuyutsuki/index.html,https://www.host2.jp/shop/fuyutsuki/sera/index.html,https://www.host2.jp/shop/fuyutsuki/sera/pr01-thum.jpg,1,2026-09-24,1,47,,,https://x.com/chocolat_fghd,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",594,歌舞伎町ホストクラブ,unknown
酸りお,GR8,https://www.host2.jp/shop/gr8/index.html,https://www.host2.jp/shop/gr8/rio/index.html,https://www.host2.jp/shop/gr8/rio/pr01-thum.jpg,1,2026-09-24,1,47,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",594,歌舞伎町ホストクラブ,unknown
