name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,selection_score,shop_listed_hosts,sns_tiktok_top30_match,external_popularity_signal,selection_basis
柴犬癒人,CANDYS FILM,https://www.host2.jp/shop/candysfilm/index.html,https://www.host2.jp/shop/candysfilm/yuto01/index.html,https://www.host2.jp/shop/candysfilm/yuto01/pr01-thum.jpg,1,2026-09-24,604,52,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
銀次,ANARCHY -本店-,https://www.host2.jp/shop/anarchy/index.html,https://www.host2.jp/shop/anarchy/x/index.html,https://www.host2.jp/shop/anarchy/x/pr01-thum.jpg,1,2026-09-24,604,52,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
KEITY,PLATINA -本店-,https://www.host2.jp/shop/platina/index.html,https://www.host2.jp/shop/platina/keity/index.html,https://www.host2.jp/shop/platina/keity/pr01-thum.jpg,1,2026-09-24,602,51,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
ほへとに伊呂波,FUYUTSUKI -DeZon-,https://www.host2.jp/shop/dezon01/index.html,https://www.host2.jp/shop/dezon01/iroha01/index.html,https://www.host2.jp/shop/dezon01/iroha01/pr01-thum.jpg,1,2026-09-24,602,51,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
華神集也,CANDYS GOD,https://www.host2.jp/shop/candys_god/index.html,https://www.host2.jp/shop/candys_god/shuya/index.html,https://www.host2.jp/shop/candys_god/shuya/pr01-thum.jpg,1,2026-09-24,602,51,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
黒碕健人,WORLD,https://www.host2.jp/shop/world/index.html,https://www.host2.jp/shop/world/kento/index.html,https://www.host2.jp/shop/world/kento/pr01-thum.jpg,1,2026-09-24,602,51,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
儚い世界,DEEP,https://www.host2.jp/shop/deep03/index.html,https://www.host2.jp/shop/deep03/sekai/index.html,https://www.host2.jp/shop/deep03/sekai/pr01-thum.jpg,1,2026-09-24,600,50,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
空本みのる,GENTLE,https://www.host2.jp/shop/gentle/index.html,https://www.host2.jp/shop/gentle/minoru/index.html,https://www.host2.jp/shop/gentle/minoru/pr01-thum.jpg,1,2026-09-24,600,50,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
道明寺 楽,neo universe,https://www.host2.jp/shop/neouniverse/index.html,https://www.host2.jp/shop/neouniverse/gaku/index.html,https://www.host2.jp/shop/neouniverse/gaku/pr01-thum.jpg,1,2026-09-24,600,50,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
風早 樂,UNIVERSE zero,https://www.host2.jp/shop/universezero/index.html,https://www.host2.jp/shop/universezero/gaku/index.html,https://www.host2.jp/shop/universezero/gaku/pr01-thum.jpg,1,2026-09-24,600,50,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
RAI,SINCE YOU... -Classic-,https://www.host2.jp/shop/sinceyouclassic/index.html,https://www.host2.jp/shop/sinceyouclassic/rai/index.html,https://www.host2.jp/shop/sinceyouclassic/rai/pr01-thum.jpg,1,2026-09-24,598,49,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
颯天,ellie,https://www.host2.jp/shop/ellie/index.html,https://www.host2.jp/shop/ellie/hayate/index.html,https://www.host2.jp/shop/ellie/hayate/pr01-thum.jpg,1,2026-09-24,598,49,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
sena,TOP DANDY -1st-,https://www.host2.jp/shop/topdandy1st/index.html,https://www.host2.jp/shop/topdandy1st/sena01/index.html,https://www.host2.jp/shop/topdandy1st/sena01/pr01-thum.jpg,1,2026-09-24,596,48,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
涼宮ハルヒ,EGOIST,https://www.host2.jp/shop/egoist/index.html,https://www.host2.jp/shop/egoist/haruhi/index.html,https://www.host2.jp/shop/egoist/haruhi/pr01-thum.jpg,1,2026-09-24,596,48,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
あらし,HEAVEN,https://www.host2.jp/shop/heaven01/index.html,https://www.host2.jp/shop/heaven01/arashi02/index.html,https://www.host2.jp/shop/heaven01/arashi02/pr01-thum.jpg,1,2026-09-24,594,47,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
ゆら,KING,https://www.host2.jp/shop/king2/index.html,https://www.host2.jp/shop/king2/yura/index.html,https://www.host2.jp/shop/king2/yura/pr01-thum.jpg,1,2026-09-24,594,47,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
星空,FUYUTSUKI -Chocolat-,https://www.host2.jp/shop/fuyutsuki/index.html,https://www.host2.jp/shop/fuyutsuki/sera/index.html,https://www.host2.jp/shop/fuyutsuki/sera/pr01-thum.jpg,1,2026-09-24,594,47,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
酸りお,GR8,https://www.host2.jp/shop/gr8/index.html,https://www.host2.jp/shop/gr8/rio/index.html,https://www.host2.jp/shop/gr8/rio/pr01-thum.jpg,1,2026-09-24,594,47,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
景虎,UNIVERSE -core-,https://www.host2.jp/shop/universecore/index.html,https://www.host2.jp/shop/universecore/kagetora/index.html,https://www.host2.jp/shop/universecore/kagetora/pr01-thum.jpg,1,2026-09-24,592,46,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
陸翔,club THE STINGER,https://www.host2.jp/shop/clubthestinger1/index.html,https://www.host2.jp/shop/clubthestinger1/rikuto/index.html,https://www.host2.jp/shop/clubthestinger1/rikuto/pr01-thum.jpg,1,2026-09-24,592,46,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
飛龍,ALLWHITE TERRACE,https://www.host2.jp/shop/allwhiteterrace/index.html,https://www.host2.jp/shop/allwhiteterrace/hiryu/index.html,https://www.host2.jp/shop/allwhiteterrace/hiryu/pr01-thum.jpg,1,2026-09-24,592,46,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
拓真,SINCE YOU... -POTALA-,https://www.host2.jp/shop/shinsuyupotara/index.html,https://www.host2.jp/shop/shinsuyupotara/takuma/index.html,https://www.host2.jp/shop/shinsuyupotara/takuma/pr01-thum.jpg,1,2026-09-24,590,45,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
李 音咒,HIGHCLASS,https://www.host2.jp/shop/highclass/index.html,https://www.host2.jp/shop/highclass/injl/index.html,https://www.host2.jp/shop/highclass/injl/pr01-thum.jpg,1,2026-09-24,590,45,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
一ノ瀬 周,TOP DANDY -朝TOP-,https://www.host2.jp/shop/topdandy2/index.html,https://www.host2.jp/shop/topdandy2/shu02/index.html,https://www.host2.jp/shop/topdandy2/shu02/pr01-thum.jpg,1,2026-09-24,588,44,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
五十嵐 俊,MILDROUS,https://www.host2.jp/shop/mildrous/index.html,https://www.host2.jp/shop/mildrous/syun/index.html,https://www.host2.jp/shop/mildrous/syun/pr01-thum.jpg,1,2026-09-24,586,43,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
桐生魁志,LEGEND,https://www.host2.jp/shop/legenda/index.html,https://www.host2.jp/shop/legenda/kaiji/index.html,https://www.host2.jp/shop/legenda/kaiji/pr01-thum.jpg,1,2026-09-24,586,43,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
琉生,NIRVANA,https://www.host2.jp/shop/nirvana/index.html,https://www.host2.jp/shop/nirvana/rui/index.html,https://www.host2.jp/shop/nirvana/rui/pr01-thum.jpg,1,2026-09-24,586,43,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
輝利人,AIR,https://www.host2.jp/shop/air/index.html,https://www.host2.jp/shop/air/kirito3/index.html,https://www.host2.jp/shop/air/kirito3/pr01-thum.jpg,1,2026-09-24,586,43,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
TAKERU,ETERNAL,https://www.host2.jp/shop/eternalosaka/index.html,https://www.host2.jp/shop/eternalosaka/takeru/index.html,https://www.host2.jp/shop/eternalosaka/takeru/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
あもん,GlitteR,https://www.host2.jp/shop/glitter/index.html,https://www.host2.jp/shop/glitter/amon/index.html,https://www.host2.jp/shop/glitter/amon/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
しょう,EDEN,https://www.host2.jp/shop/eden/index.html,https://www.host2.jp/shop/eden/sho/index.html,https://www.host2.jp/shop/eden/sho/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
すい,MAJESTY -本店-,https://www.host2.jp/shop/majesty/index.html,https://www.host2.jp/shop/majesty/kei/index.html,https://www.host2.jp/shop/majesty/kei/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
ダイア,EARTH,https://www.host2.jp/shop/earth3/index.html,https://www.host2.jp/shop/earth3/daia/index.html,https://www.host2.jp/shop/earth3/daia/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
