name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,selection_score,shop_listed_hosts,sns_tiktok_top30_match,external_popularity_signal,selection_basis
帝 世那,FILIA,https://www.host2.jp/shop/filia/index.html,https://www.host2.jp/shop/filia/sena/index.html,https://www.host2.jp/shop/filia/sena/pr01-thum.jpg,1,2026-09-24,580,40,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
流川 れおん,Dio,https://www.host2.jp/shop/dio2/index.html,https://www.host2.jp/shop/dio2/reon/index.html,https://www.host2.jp/shop/dio2/reon/pr01-thum.jpg,1,2026-09-24,580,40,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
あひるの空,ALLSTAR -本店-,https://www.host2.jp/shop/allstar/index.html,https://www.host2.jp/shop/allstar/sora/index.html,https://www.host2.jp/shop/allstar/sora/pr01-thum.jpg,1,2026-09-24,578,39,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
かーいーだよー,DREAM本店,https://www.host2.jp/shop/dreamgd/index.html,https://www.host2.jp/shop/dreamgd/kaidayo/index.html,https://www.host2.jp/shop/dreamgd/kaidayo/pr01-thum.jpg,1,2026-09-24,578,39,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
壱馬,P'CE UMEDA,https://www.host2.jp/shop/pceumeda/index.html,https://www.host2.jp/shop/pceumeda/kazuma/index.html,https://www.host2.jp/shop/pceumeda/kazuma/pr01-thum.jpg,1,2026-09-24,578,39,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
岳,TOP DANDY JUICE,https://www.host2.jp/shop/topdandy_juice/index.html,https://www.host2.jp/shop/topdandy_juice/gaku/index.html,https://www.host2.jp/shop/topdandy_juice/gaku/pr01-thum.jpg,1,2026-09-24,578,39,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
志龍エイト,ACQUA FUKUOKA,https://www.host2.jp/shop/acquafukuoka/index.html,https://www.host2.jp/shop/acquafukuoka/eito/index.html,https://www.host2.jp/shop/acquafukuoka/eito/pr01-thum.jpg,1,2026-09-24,578,39,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
波旬,Destiny -acro-,https://www.host2.jp/shop/acro/index.html,https://www.host2.jp/shop/acro/hajun/index.html,https://www.host2.jp/shop/acro/hajun/pr01-thum.jpg,1,2026-09-24,578,39,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
りーくん,LEX,https://www.host2.jp/shop/lex_gd/index.html,https://www.host2.jp/shop/lex_gd/rikun/index.html,https://www.host2.jp/shop/lex_gd/rikun/pr01-thum.jpg,1,2026-09-24,576,38,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
晴人,AUB,https://www.host2.jp/shop/aub/index.html,https://www.host2.jp/shop/aub/haruto02/index.html,https://www.host2.jp/shop/aub/haruto02/pr01-thum.jpg,1,2026-09-24,576,38,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
渋谷 凰,SINCE YOU...α,https://www.host2.jp/shop/sinceyoua/index.html,https://www.host2.jp/shop/sinceyoua/otori/index.html,https://www.host2.jp/shop/sinceyoua/otori/pr01-thum.jpg,1,2026-09-24,576,38,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
れいな,Beat Crush -ZERO-,https://www.host2.jp/shop/bczero/index.html,https://www.host2.jp/shop/bczero/reina/index.html,https://www.host2.jp/shop/bczero/reina/pr01-thum.jpg,1,2026-09-24,574,37,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
SHOZO,LIPS,https://www.host2.jp/shop/lips/index.html,https://www.host2.jp/shop/lips/shozo/index.html,https://www.host2.jp/shop/lips/shozo/pr01-thum.jpg,1,2026-09-24,572,36,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
アラン,ROMANCE,https://www.host2.jp/shop/romance1/index.html,https://www.host2.jp/shop/romance1/aran/index.html,https://www.host2.jp/shop/romance1/aran/pr01-thum.jpg,1,2026-09-24,572,36,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
一ノ瀬 流輝,Dear's大阪,https://www.host2.jp/shop/dearsosaka/index.html,https://www.host2.jp/shop/dearsosaka/ruka/index.html,https://www.host2.jp/shop/dearsosaka/ruka/pr01-thum.jpg,1,2026-09-24,572,36,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
午後レイジ,FioRe,https://www.host2.jp/shop/fiore01/index.html,https://www.host2.jp/shop/fiore01/reiji/index.html,https://www.host2.jp/shop/fiore01/reiji/pr01-thum.jpg,1,2026-09-24,572,36,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
大夢,TRIDENT,https://www.host2.jp/shop/trident/index.html,https://www.host2.jp/shop/trident/hiromu/index.html,https://www.host2.jp/shop/trident/hiromu/pr01-thum.jpg,1,2026-09-24,572,36,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
志垣 翔,AWAKE,https://www.host2.jp/shop/awake/index.html,https://www.host2.jp/shop/awake/guriko/index.html,https://www.host2.jp/shop/awake/guriko/pr01-thum.jpg,1,2026-09-24,572,36,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
日高瑠依,YOUTH,https://www.host2.jp/shop/youth__/index.html,https://www.host2.jp/shop/youth__/rui01/index.html,https://www.host2.jp/shop/youth__/rui01/pr01-thum.jpg,1,2026-09-24,572,36,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
AOYAMA GAKU,KIRAMEKI,https://www.host2.jp/shop/kirameki/index.html,https://www.host2.jp/shop/kirameki/gaku/index.html,https://www.host2.jp/shop/kirameki/gaku/pr01-thum.jpg,1,2026-09-24,570,35,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
あすい るる,Lilian,https://www.host2.jp/shop/lilian/index.html,https://www.host2.jp/shop/lilian/ruru/index.html,https://www.host2.jp/shop/lilian/ruru/pr01-thum.jpg,1,2026-09-24,570,35,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
